,VendorName,ModelName,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP
0,adviser,32/60,125,256,6000,256,16,128,198
1,amdahl,470v/7,29,8000,32000,32,8,32,269
2,amdahl,470v/7a,29,8000,32000,32,8,32,220
3,amdahl,470v/7b,29,8000,32000,32,8,32,172
4,amdahl,470v/7c,29,8000,16000,32,8,16,132
5,amdahl,470v/b,26,8000,32000,64,8,32,318
6,amdahl,580-5840,23,16000,32000,64,16,32,367
7,amdahl,580-5850,23,16000,32000,64,16,32,489
8,amdahl,580-5860,23,16000,64000,64,16,32,636
9,amdahl,580-5880,23,32000,64000,128,32,64,1144
10,apollo,dn320,400,1000,3000,0,1,2,38
11,apollo,dn420,400,512,3500,4,1,6,40
12,basf,7/65,60,2000,8000,65,1,8,92
13,basf,7/68,50,4000,16000,65,1,8,138
14,bti,5000,350,64,64,0,1,4,10
15,bti,8000,200,512,16000,0,4,32,35
16,burroughs,b1955,167,524,2000,8,4,15,19
17,burroughs,b2900,143,512,5000,0,7,32,28
18,burroughs,b2925,143,1000,2000,0,5,16,31
19,burroughs,b4955,110,5000,5000,142,8,64,120
20,burroughs,b5900,143,1500,6300,0,5,32,30
21,burroughs,b5920,143,3100,6200,0,5,20,33
22,burroughs,b6900,143,2300,6200,0,6,64,61
23,burroughs,b6925,110,3100,6200,0,6,64,76
24,c.r.d,68/10-80,320,128,6000,0,1,12,23
25,c.r.d,universe:2203t,320,512,2000,4,1,3,69
26,c.r.d,universe:68,320,256,6000,0,1,6,33
27,c.r.d,universe:68/05,320,256,3000,4,1,3,27
28,c.r.d,universe:68/137,320,512,5000,4,1,5,77
29,c.r.d,universe:68/37,320,256,5000,4,1,6,27
30,cdc,cyber:170/750,25,1310,2620,131,12,24,274
31,cdc,cyber:170/760,25,1310,2620,131,12,24,368
32,cdc,cyber:170/815,50,2620,10480,30,12,24,32
33,cdc,cyber:170/825,50,2620,10480,30,12,24,63
34,cdc,cyber:170/835,56,5240,20970,30,12,24,106
35,cdc,cyber:170/845,64,5240,20970,30,12,24,208
36,cdc,omega:480-i,50,500,2000,8,1,4,20
37,cdc,omega:480-ii,50,1000,4000,8,1,5,29
38,cdc,omega:480-iii,50,2000,8000,8,1,5,71
39,cambex,1636-1,50,1000,4000,8,3,5,26
40,cambex,1636-10,50,1000,8000,8,3,5,36
41,cambex,1641-1,50,2000,16000,8,3,5,40
42,cambex,1641-11,50,2000,16000,8,3,6,52
43,cambex,1651-1,50,2000,16000,8,3,6,60
44,dec,decsys:10:1091,133,1000,12000,9,3,12,72
45,dec,decsys:20:2060,133,1000,8000,9,3,12,72
46,dec,microvax-1,810,512,512,8,1,1,18
47,dec,vax:11/730,810,1000,5000,0,1,1,20
48,dec,vax:11/750,320,512,8000,4,1,5,40
49,dec,vax:11/780,200,512,8000,8,1,8,62
50,dg,eclipse:c/350,700,384,8000,0,1,1,24
51,dg,eclipse:m/600,700,256,2000,0,1,1,24
52,dg,eclipse:mv/10000,140,1000,16000,16,1,3,138
53,dg,eclipse:mv/4000,200,1000,8000,0,1,2,36
54,dg,eclipse:mv/6000,110,1000,4000,16,1,2,26
55,dg,eclipse:mv/8000,110,1000,12000,16,1,2,60
56,dg,eclipse:mv/8000-ii,220,1000,8000,16,1,2,71
57,formation,f4000/100,800,256,8000,0,1,4,12
58,formation,f4000/200,800,256,8000,0,1,4,14
59,formation,f4000/200ap,800,256,8000,0,1,4,20
60,formation,f4000/300,800,256,8000,0,1,4,16
61,formation,f4000/300ap,800,256,8000,0,1,4,22
62,four-phase,2000/260,125,512,1000,0,8,20,36
63,gould,concept:32/8705,75,2000,8000,64,1,38,144
64,gould,concept:32/8750,75,2000,16000,64,1,38,144
65,gould,concept:32/8780,75,2000,16000,128,1,38,259
66,hp,3000/30,90,256,1000,0,3,10,17
67,hp,3000/40,105,256,2000,0,3,10,26
68,hp,3000/44,105,1000,4000,0,3,24,32
69,hp,3000/48,105,2000,4000,8,3,19,32
70,hp,3000/64,75,2000,8000,8,3,24,62
71,hp,3000/88,75,3000,8000,8,3,48,64
72,hp,3000/iii,175,256,2000,0,3,24,22
73,harris,100,300,768,3000,0,6,24,36
74,harris,300,300,768,3000,6,6,24,44
75,harris,500,300,768,12000,6,6,24,50
76,harris,600,300,768,4500,0,1,24,45
77,harris,700,300,384,12000,6,1,24,53
78,harris,80,300,192,768,6,6,24,36
79,harris,800,180,768,12000,6,1,31,84
80,honeywell,dps:6/35,330,1000,3000,0,2,4,16
81,honeywell,dps:6/92,300,1000,4000,8,3,64,38
82,honeywell,dps:6/96,300,1000,16000,8,2,112,38
83,honeywell,dps:7/35,330,1000,2000,0,1,2,16
84,honeywell,dps:7/45,330,1000,4000,0,3,6,22
85,honeywell,dps:7/55,140,2000,4000,0,3,6,29
86,honeywell,dps:7/65,140,2000,4000,0,4,8,40
87,honeywell,dps:8/44,140,2000,4000,8,1,20,35
88,honeywell,dps:8/49,140,2000,32000,32,1,20,134
89,honeywell,dps:8/50,140,2000,8000,32,1,54,66
90,honeywell,dps:8/52,140,2000,32000,32,1,54,141
91,honeywell,dps:8/62,140,2000,32000,32,1,54,189
92,honeywell,dps:8/20,140,2000,4000,8,1,20,22
93,ibm,3033:s,57,4000,16000,1,6,12,132
94,ibm,3033:u,57,4000,24000,64,12,16,237
95,ibm,3081,26,16000,32000,64,16,24,465
96,ibm,3081:d,26,16000,32000,64,8,24,465
97,ibm,3083:b,26,8000,32000,0,8,24,277
98,ibm,3083:e,26,8000,16000,0,8,16,185
